Sample,Order,number,,,,,,,,,
0009_AL_Met52_FI_PRE,Diptera,2,,,,,,,,,
0009_AL_Met52_FI_PRE,collembola,16,,,,,,,,,
0009_AL_Met52_FI_PRE,Oribatida,3,,,,,,,,,
0009_AL_Met52_FI_PRE,coleoptera,2,,,,,,,,,
0009_AL_Met52_FI_PRE,aranae,2,,,,,,,,,
0009_AL_Met52_FI_PRE,isopoda,2,,,,,,,,,
0009_AL_Met52_FI_PRE,coleoptera,2,,,,,,,,,
0009_AL_Met52_FI_PRE,opilionidae,2,,,,,,,,,
0009_AL_Met52_FI_PRE,hymenoptera,4,,,,,,,,,
0009_AL_Met52_FI_PRE,acari ,1,,,,,,,,,
0009_AL_Met52_FI_PRE,coleoptera,1,,,,,,,,,
0009_AL_Met52_FI_PRE,orthoptera,2,,,,,,,,,
0009_AL_Met52_FI_PRE,coleoptera,1,,,,,,,,,
0010_AL_Met52_FO_PRE,opilionidae,4,,,,,,,,,
0010_AL_Met52_FO_PRE,trombidiformes,1,,,,,,,,,
0010_AL_Met52_FO_PRE,Oribatida,1,,,,,,,,,
0010_AL_Met52_FO_PRE,orthoptera,2,,,,,,,,,
0010_AL_Met52_FO_PRE,coleoptera,1,,,,,,,,,
0010_AL_Met52_FO_PRE,collembola,1,,,,,,,,,
0011_AL_Met52_LI_PRE,collembola,33,,,,,,,,,
0011_AL_Met52_LI_PRE,coleoptera,2,,,,,,,,,
0011_AL_Met52_LI_PRE,hymenoptera,1,,,,,,,,,
0011_AL_Met52_LI_PRE,Diptera,1,,,,,,,,,
0011_AL_Met52_LI_PRE,Oribatida,1,,,,,,,,,
0011_AL_Met52_LI_PRE,Acari,1,,,,,,,,,
0012_AL_Met52_LO_PRE,Blattodea,1,,,,,,,,,
0012_AL_Met52_LO_PRE,Oribatida,3,,,,,,,,,
0012_AL_Met52_LO_PRE,collembola,6,,,,,,,,,
0012_AL_Met52_LO_PRE,hymenoptera,2,,,,,,,,,
0012_AL_Met52_LO_PRE,aranae,2,,,,,,,,,
0012_AL_Met52_LO_PRE,Isopoda,1,,,,,,,,,
0012_AL_Met52_LO_PRE,Diptera,1,,,,,,,,,
0012_AL_Met52_LO_PRE,opilionidae,1,,,,,,,,,
0012_AL_Met52_LO_PRE,aranae,1,,,,,,,,,
0012_AL_Met52_LO_PRE,coleoptera,2,,,,,,,,,
0012_AL_Met52_LO_PRE,Siphonaptera,1,,,,,,,,,
0013_AL_H2O_PRE_LO,collembola,79,,,,,,,,,
0013_AL_H2O_PRE_LO,isopoda,6,,,,,,,,,
0013_AL_H2O_PRE_LO,hymenoptera,19,,,,,,,,,
0013_AL_H2O_PRE_LO,aranae,1,,,,,,,,,
0013_AL_H2O_PRE_LO,hemiptera,1,,,,,,,,,
0013_AL_H2O_PRE_LO,coleoptera,4,,,,,,,,,
0013_AL_H2O_PRE_LO,opilionidae,4,,,,,,,,,
0014_AL_H2O_PRE_LI,collembola,51,,,,,,,,,
0014_AL_H2O_PRE_LI,opilionidae,1,,,,,,,,,
0014_AL_H2O_PRE_LI,thysanoptera,1,,,,,,,,,
0014_AL_H2O_PRE_LI,isopoda,1,,,,,,,,,
0014_AL_H2O_PRE_LI,aranae,2,,,,,,,,,
0014_AL_H2O_PRE_LI,coleoptera,7,,,,,,,,,
0014_AL_H2O_PRE_LI,acari,1,,,,,,,,,
0014_AL_H2O_PRE_LI,pseudoscorpiionidae,1,,,,,,,,,
0014_AL_H2O_PRE_LI,lepidoptera,1,,,,,,,,,
0014_AL_H2O_PRE_LI,diptera,3,,,,,,,,,
0014_AL_H2O_PRE_LI,hemiptera,1,,,,,,,,,
0014_AL_H2O_PRE_LI,trombidiformes,1,,,,,,,,,
0014_AL_H2O_PRE_LI,microcoryphia,1,,,,,,,,,
0015_AL_H2O_PRE_FI,collembola,31,,,,,,,,,
0015_AL_H2O_PRE_FI,Oribatida,7,,,,,,,,,
